Artikelnummer;Beskrivning;Artikel ersatt av;Artikel har utgått;Cirkapris exkl.moms;Gammalt Klippo,Gardena nr;EAN kod;
13 98 90-11;REGLAGEARM, GRÅ;;0;72.8;;7391883234174;
32 28 24-00;BORSTKOL;;0;48.8;;7391883234181;
101 60 47-97;METALLSKYLT H 500X100;;0;1991.0;;7391883741382;
101 60 50-96;MET.SKYLT LINJE 250X50;;0;341.0;;7391883741399;
101 60 71-96;LJUSSKYLT SÅG 100X70;;0;2100.0;;;
101 60 74-96;DEKAL 90X20 HUSQVARNA;;0;6.6;;7391883741436;
101 60 77-96;FÖNSTERDEKAL 45X10 HUSQ;;0;3.8;;7391883741450;
101 60 79-96;FLAGGA BLÅ 200X270;;0;270.0;;7393080859891;
101 60 81-96;FASADFLAGGA + HÅLLARE;;0;50.0;;7391883741467;
101 60 82-96;PARASOLL BLÅTT;;0;254.0;;7391736274289;
101 60 88-96;FÖNSTERDEKAL 90X10 RAND;;0;6.2;;7391883741474;
101 60 98-96;DEKAL HUSQVARNA 45X10;;0;4.1;;7391883741481;
101 61 00-96;DEKAL 90X10 RAND;;0;6.2;;7391883741498;
101 61 02-96;E-Z UP TÄLT;;0;5300.0;;7391883833438;
101 62 61-96;CD TECHNICAL TRAINING,;;0;43.2;;3015272220473;
101 63 45-96;MULTI STAND LDX/GC;;0;995.0;;7391883563939;
101 63 61-96;CAP  NAVY BLUE;;0;16.0;;7391883589939;
101 63 64-46;HODDJACKA BLÅ;;0;339.0;;3015272227571;
101 63 65-96;NYCKELBAND HUSQVARNA;;0;77.0;;7391883587812;
101 63 71-48;T-SHIRT MED H;;0;55.0;;7350071000090;
101 63 71-50;T-SHIRT MED H;;0;55.0;;7350071000106;
101 63 71-52;T-SHIRT MED H;;0;55.0;;3015272260455;
101 63 71-54;T-SHIRT MED H;;0;55.0;;7350071000113;
101 63 71-56;T-SHIRT MED H;;0;55.0;;7350071000120;
101 63 71-58;T-SHIRT;;0;55.0;;7391883757925;
101 63 72-46;T-SHIRT BLÅ;;0;37.0;;7391883568347;
101 63 72-48;T-SHIRT BLÅ;;0;37.0;;7391883583234;
101 63 72-50;T-SHIRT BLÅ;;0;37.0;;7391883585061;
101 63 72-52;T-SHIRT MARINBLÅ;;0;37.0;;7391883584118;
101 63 72-54;T-SHIRT MARINBLÅ;;0;37.0;;7391883581520;
101 63 72-56;T-SHIRT NAVY;;0;37.0;;7391883580769;
101 63 79-46;PIKETRÖJA MARIN DAM;;0;158.0;;3015272223641;
